store_name,phone,email
ADN Car Auto Parts  Repuestos,593989582006,info1@qt.com
Autorepuestos Heredia,593987643906,autorepuestos_heredia@hotmail.com
Autorepuestos Carrion Arevalo,593958927998,autorepuestosc.a@live.com
Importadora Naranjo y Hnos,593982524827,info2@qt.com
Dikers -Venta de asesores automotrices,593993081936,info3@qt.com
Full cauchos automotrices,099 253 8493,full_cauchosautomotrices@hotmail.com
Repuestos Pichincha,593987666124,info4@qt.com
Casa del Amortiguador,593993783182,info5@qt.com
Asiarepuestos,593987993926,info6@qt.com
Importadora Herrera Tractocamiones, camiones medianos y remolques,593985700518,https://www.importadoraherrerauio.com/quienes-somos/
Autorepuestos GARCIA,593987468731,info7@qt.com
Tecnicentro Automotriz,593983803478,montenegro95_fer@hotmail.com
Embragues del Sur,593985598575,emiguel1971vazquez@gmail.com
Movi Motor (Repuestos Automotrices),593958782480,movimotorrepuestos@hotmail.com
Chevy Lunas,593983444149,info8@qt.com
Repuestos Automotrices Figueroa hermanos,593984608169,repuestosfigueroahermanos@gmail.com
EUROASIA Repuestos,593990875311,info9@qt.com
Distribuidora Benalcazar,593993493421,distribuidorabenalcazar@hotmail.com
Power Repuestos,593997935208,info10@qt.com
Respuestos Brasil,593969742000,repuestosbrasil2022@gmail.com
Faros Solution,593992550580,info11@qt.com
Importadora Sebastian,593985782410,autorepuestosebastian@hotmail.com 
Repuestos Remachi,593995383878,repuestosr@outlook.com
Mundo del Ruliman,593984070184,info12@qt.com
Mangueras Hidracoples,593986144554,mangueras_hidracoples@hotmail.com
Autorepuestos Ponce,593968087018,info13@qt.com
Repuestos Luna,593999395492,mayorista@importadoraluna.com
GPS JG Road Safety,593963766281,info@qt.com
